GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-code-assignment,com.warehouse.api.beans,Warehouse,0,38,0,0,0,16,0,11,0,11
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Location,0,12,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Warehouse,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource.ErrorMapper,0,48,0,4,0,11,0,4,0,2
java-code-assignment,com.fulfilment.application.monolith.products,ProductRepository,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,Product,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource,0,119,0,10,0,27,0,12,0,7
java-code-assignment,com.fulfilment.application.monolith.location,LocationGateway,0,95,0,0,0,15,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouse,0,33,0,0,0,9,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,WarehouseRepository,1,100,1,3,0,22,1,7,0,6
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource,152,5,20,0,36,1,17,1,7,1
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.ErrorMapper,0,48,0,4,0,11,0,4,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,StoreUpdatedEvent,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,StoreCreatedEvent,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,LegacyStoreManagerGateway,0,59,0,0,0,18,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.stores,Store,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,StoreEventObserver,0,32,0,0,0,8,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseResourceImpl,0,170,0,8,0,39,0,11,0,7
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ArchiveWarehouseUseCase,0,39,0,4,0,11,0,4,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,CreateWarehouseUseCase,0,78,0,8,0,18,0,6,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ReplaceWarehouseUseCase,25,72,3,7,4,18,3,4,0,2
